Phylum,C.x,O.x,Name,B...L.x,B...T.x,B...L.y,B...T.y,L...T.x,L...T.y,Mean,SD,P.color
Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriales,FALSE,FALSE,3.219827920724376,1.0292459127918947,FALSE,-1.7002839496461812,12.034377125530309,5.307379551224461,red
Acidobacteriota,Acidobacteriae,Subgroup13,Subgroup13,FALSE,TRUE,-1.5089225132488806,-0.7375682889731313,TRUE,1.808636552446455,0.0020384138497579534,0.005376774340243157,red
Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacterales,TRUE,TRUE,-3.669930292189411,-12.065036930367391,TRUE,-10.829819057614435,1.3818417609749756,1.1629371120992982,red
Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculales,FALSE,FALSE,0.6463524448735695,-1.349418863813257,TRUE,-3.8757606299439047,0.13152642128612463,0.20811076758147115,red
Acidobacteriota,Acidobacteriae,Solibacterales,Solibacterales,TRUE,TRUE,-5.111339084985656,-18.163495246263818,TRUE,-16.15330452995683,0.3915737333659,0.44355579923453897,red
Acidobacteriota,Acidobacteriae,Subgroup2,Subgroup2,FALSE,TRUE,-8.259963466279644e-4,-12.971390028158304,TRUE,-14.782131610879583,0.27939529731374985,0.2734885687945793,red
Acidobacteriota,Holophagae,Subgroup7,Subgroup7,FALSE,TRUE,2.0607150502038687,2.649815870590856,TRUE,1.2761048717943164,0.0035933941014288135,0.011596419440637948,red
Acidobacteriota,Subgroup5,Subgroup5,Subgroup5,FALSE,TRUE,-0.1205350817754071,1.4093830603248578,TRUE,3.493848482889653,0.0012629765420509552,0.0061785155457946125,red
Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichales,FALSE,FALSE,-3.134686689143111,1.26599452196953,TRUE,7.125584590437624,0.01755789972503812,0.05442090399677121,goldenrod
Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetales,TRUE,TRUE,4.40753690875201,14.453823587895139,TRUE,20.84681292389079,0.49652059563736295,0.7402524686412222,goldenrod
Actinobacteriota,Actinobacteria,Micrococcales,Micrococcales,TRUE,FALSE,-4.444870890769742,-0.40992994518688824,TRUE,5.979474474916916,0.6047746994536192,0.5733324573369636,goldenrod
Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacterales,FALSE,FALSE,-1.463998660711329,1.992784910602092,TRUE,6.016725985363602,0.006063951095348663,0.009977220493904163,goldenrod
Actinobacteriota,Acidimicrobiia,Unclassified,Unclassified,TRUE,TRUE,-5.654324637272151,-13.32005162718844,TRUE,-11.152442351993477,0.16301810450122634,0.21552497264851903,goldenrod
Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellales,TRUE,TRUE,-5.103511726081495,-14.561954218589328,TRUE,-14.095059646329455,0.2930474257535261,0.4245001084774524,goldenrod
Actinobacteriota,Actinobacteria,Catenulisporales,Catenulisporales,FALSE,FALSE,1.6017683452596243,1.1151746493048051,FALSE,-0.39125891549998854,0.010373241580516826,0.014356011459033938,goldenrod
Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriales,TRUE,TRUE,-9.493165009400132,-8.725213307983804,FALSE,-0.08434345782349822,0.02382268539606638,0.05410880768388185,goldenrod
Actinobacteriota,Acidimicrobiia,IMCC26256,IMCC26256,TRUE,TRUE,-6.671758245422566,-5.5775281335279585,TRUE,2.0584373599226913,0.006727568752201187,0.020404378734804947,goldenrod
Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiales,FALSE,FALSE,0.7633179733633039,2.7588220527967495,TRUE,3.663141011788378,0.0010957407899486733,0.0037463972748295,goldenrod
Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporales,TRUE,TRUE,-4.4626047748953415,-9.676643118560058,TRUE,-6.931582386405185,0.03746432202384689,0.05459611701390376,goldenrod
Actinobacteriota,Actinobacteria,Frankiales,Frankiales,TRUE,TRUE,-6.715265956791538,-21.469311704396315,TRUE,-17.372373861003652,0.14266589792532383,0.21952920280039423,goldenrod
Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriales,FALSE,FALSE,-1.0398788124835854,2.4441989931624684,TRUE,5.871125468380372,0.3261867826946204,0.2556258702879493,goldenrod
Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagales,FALSE,TRUE,-0.5547402091361159,-6.63710560047491,TRUE,-8.188101229399885,0.08335909199191424,0.1007012375777989,blue
Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriales,FALSE,FALSE,0.39523175133497945,0.6993808135977511,FALSE,0.8383648917939095,0.11945170958413212,0.17861824428456727,blue
Bacteroidota,Bacteroidia,Cytophagales,Cytophagales,TRUE,TRUE,3.8999398303818076,5.896987233419118,TRUE,5.024988407013753,0.11724551327443594,0.08002389262123234,blue
Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidales,FALSE,TRUE,-0.35601903837656257,0.013158429512560197,TRUE,1.3434108697547464,0.00500659536924244,0.025188466926109432,blue
Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriales,FALSE,TRUE,0.047654175935165535,-4.0282948065255715,TRUE,-4.766729516932922,0.11739131086733155,0.42489598176083093,blue
